Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
11.19,0.47,10.08,10.09
11.36,0.43,11.7,11.71
11.52,-0.1,8.11,8.12
11.67,-0.28,13.55,13.55
11.82,0.14,16.92,16.92
11.99,0.31,8.98,8.98
12.14,0.26,11.53,11.53
12.31,0.08,10.02,10.02
12.47,-0.02,11.47,11.47
12.62,0.11,8.21,8.21
12.78,0.38,12.83,12.83
12.94,0.45,14.49,14.5
13.1,0.38,15.06,15.07
13.26,0,15.09,15.09
13.43,0.02,15.24,15.24
13.58,0.25,14.13,14.13
13.74,0.19,16.98,16.98
13.89,0.2,14.24,14.24
14.07,0.29,17.99,18
14.21,0.19,13.07,13.07
14.38,0.01,12.66,12.66
14.52,0.06,12.95,12.95
14.69,0.22,11.46,11.46
14.84,0.27,10.83,10.84
15,0.26,9.93,9.93
15.15,-0.01,9.5,9.5
15.32,-0.11,7.73,7.73
15.47,0.14,11.3,11.3
15.63,0.13,8.08,8.08
15.8,0.44,8.85,8.86
15.95,0.26,10.5,10.5
16.1,-0.13,14.24,14.24
16.26,-0.1,10.73,10.73
16.42,0.07,6.91,6.91
16.58,0.25,8.4,8.4
16.75,0.27,15.4,15.4
16.9,-0.01,9.02,9.02
17.05,0.05,12.58,12.58
17.22,0.08,9.85,9.85
17.37,0.3,10.73,10.74
17.52,0.07,6.11,6.11
17.67,-0.11,7.31,7.31
17.84,-0.05,13.41,13.41
17.99,0.14,14.29,14.29
18.15,0.25,10.36,10.37
18.3,-0.02,9.19,9.19
18.47,-0.05,9.74,9.74
18.62,0.06,10.84,10.84
18.78,0.35,15.01,15.01
18.93,0.37,11.4,11.41
19.1,0.15,15.96,15.96
19.25,-0.05,9,9
19.41,-0.01,9.43,9.43
19.57,0.17,8.01,8.01
19.72,0.21,6.94,6.94
19.87,0.07,13,13
20.04,0.05,14.15,14.15
20.19,0.28,10.74,10.74
20.36,0.12,4.96,4.97
20.51,-0.04,10.6,10.6
20.67,-0.14,8.51,8.51
20.82,0.06,13.51,13.51
20.99,0.7,10.65,10.67
21.14,0.2,6.87,6.87
21.31,-0.2,9.19,9.19
21.45,-0.08,10.03,10.03
21.62,0.27,15.79,15.79
21.78,1.09,16.49,16.53
21.94,0.42,14.23,14.24
22.09,-0.32,9.04,9.04
22.26,-0.17,6.63,6.63
22.41,0.23,9.2,9.2
22.58,0.75,8.28,8.32
22.73,0.35,4.8,4.81
22.89,-0.38,13.48,13.48
23.06,-0.35,9,9.01
23.21,0.11,14.42,14.42
23.38,0.76,12.94,12.96
23.54,0.38,18.01,18.02
23.68,-0.14,14.18,14.18
23.85,-0.41,11.63,11.64
24,0.08,5.65,5.65
24.17,0.56,15.71,15.72
24.32,0.34,17.14,17.14
24.48,-0.02,15.7,15.7
24.63,-0.17,6.36,6.36
24.8,-0.2,12.92,12.92
24.97,0.35,7.31,7.32
25.11,0.3,6.36,6.36
25.27,0.37,10.42,10.42
25.43,0.2,7.39,7.39
25.59,0.14,6.06,6.07
25.74,0.38,3.76,3.78
25.89,0.15,4.24,4.24
26.06,-0.09,4.97,4.97
26.2,0.05,3.36,3.36
26.37,0.03,4.36,4.36
26.54,0.42,8.11,8.12
26.69,0.05,3.44,3.44
26.85,0.16,6.62,6.62
27.02,-0.1,7.37,7.37
27.17,-0.09,10.44,10.44
27.34,0.35,6.38,6.39
27.49,0.59,10.97,10.98
27.64,0.28,8.11,8.11
27.8,-0.32,12.6,12.6
27.95,-0.37,8.6,8.61
28.11,0.05,4.52,4.52
28.26,0.63,10.79,10.81
28.42,0.41,8.19,8.2
28.58,-0.16,12.21,12.21
28.74,-0.57,12.98,12.99
28.89,-0.04,13.55,13.55
29.04,0.69,12.86,12.88
29.21,0.6,14.18,14.19
29.36,-0.18,13.15,13.15
29.52,-0.64,9.53,9.55
29.69,-0.15,15.58,15.58
29.85,0.57,15.22,15.23
30,0.76,17.33,17.35
30.16,0.29,9.85,9.85
30.31,-0.26,14.12,14.12
30.5,-0.47,13.82,13.83
30.65,0.24,13.58,13.58
30.8,0.78,13.58,13.61
30.96,0.43,8.18,8.19
31.11,-0.51,14.51,14.52
31.28,-1.06,7.62,7.7
31.44,0.21,6.69,6.7
31.6,0.52,6.63,6.66
31.76,0.09,-0.94,0.95
31.9,-0.11,4.24,4.24
32.07,-0.02,9.84,9.84
32.24,0.1,6.76,6.76
32.39,0.81,11.74,11.76
32.55,0.34,9.79,9.79
32.7,-0.03,12.53,12.53
32.87,-0.26,15.54,15.54
33.04,0.18,12.48,12.48
33.19,1.04,17.12,17.16
33.35,0.39,13.14,13.15
33.49,-0.14,9.06,9.06
33.65,-0.22,10.36,10.36
33.81,0.02,3.73,3.74
33.97,0.79,13.54,13.56
34.13,0.33,6.8,6.81
34.27,-0.14,3.44,3.44
34.44,-0.31,13.91,13.92
34.61,-0.23,12.31,12.31
34.76,0.7,14.56,14.58
34.92,0.7,15.5,15.51
35.07,0.04,12.42,12.42
35.24,-0.55,10.09,10.11
35.39,-0.57,6.53,6.55
35.56,0.53,15.01,15.02
35.7,0.71,18.52,18.54
35.87,0,13.49,13.49
36.01,-0.89,13.84,13.87
36.16,-0.67,10.54,10.56
36.33,0.44,16.94,16.95
36.49,0.9,14.19,14.21
36.65,0.35,14.64,14.64
36.81,-0.61,10.06,10.08
36.96,-1.06,12.07,12.12
37.13,0.23,12.02,12.03
37.28,0.71,14.81,14.83
37.43,0.33,16.51,16.51
37.59,-0.32,12.11,12.11
37.74,-0.31,7.95,7.95
37.91,0.5,13.54,13.55
38.06,0.42,10.57,10.58
38.22,0.15,11.03,11.03
38.38,-0.21,8.87,8.88
38.53,-0.29,8.58,8.59
38.7,0.35,11.37,11.38
38.85,0.7,8.57,8.59
39,0.53,14.24,14.25
39.17,-0.38,10,10.01
39.32,-0.45,6.41,6.43
39.49,0.14,14.29,14.29
39.63,0.58,10.36,10.38
39.8,0.37,14.54,14.54
39.95,-0.23,14.38,14.38
40.12,-0.55,13.13,13.14
40.27,0.02,14.82,14.82
40.43,0.53,13.28,13.29
40.6,0.5,15.98,15.99
40.75,0.1,10.54,10.54
40.9,0.83,10.88,10.91
41.06,-0.43,14.27,14.28
41.22,-0.68,11.13,11.15
41.37,-0.04,16.92,16.92
41.54,0.71,14.92,14.94
41.71,0.5,10.21,10.22
41.85,-0.56,2.72,2.78
42.02,-0.85,14.04,14.07
42.17,-0.09,13.67,13.67
42.34,0.7,12.81,12.83
42.49,0.47,15.03,15.04
42.65,-0.12,12.51,12.51
42.79,-0.39,14.62,14.63
42.96,0.11,12.93,12.93
43.13,0.46,13.24,13.24
43.28,0.32,15.11,15.11
43.44,0.02,10.93,10.93
43.59,-0.1,12.57,12.57
43.76,0.14,14.72,14.73
43.91,0.39,5.01,5.02
44.06,0.24,11.5,11.51
44.23,-0.01,9.9,9.9
44.39,-0.2,11.43,11.43
44.55,0.07,12.39,12.39
44.7,0.23,13.67,13.67
44.85,0.18,5.36,5.36
45.02,0.08,14.16,14.16
45.17,-0.03,9.51,9.51
45.33,0.08,8.24,8.24
45.48,0.05,7.51,7.51
45.65,0.08,6.13,6.13
45.8,-0.02,10.48,10.48
45.96,0.21,8.87,8.87
46.11,0.15,6.77,6.77
46.28,0.19,10.98,10.98
46.44,0.15,13.39,13.39
46.6,0.06,8.74,8.74
46.75,0.14,9.33,9.33
46.91,0.12,6.17,6.17
47.07,0.12,12.84,12.84
47.24,0.09,10.73,10.73
47.39,-0.03,5.86,5.86
47.55,0.07,9.33,9.33
47.7,0.09,3.89,3.89
47.85,0.14,9.37,9.38
48.02,-0.04,4.14,4.14
48.19,0.18,8.81,8.81
48.33,0.38,7.72,7.73
48.49,0.14,5.17,5.17
48.64,-0.02,5.6,5.6
48.81,0.05,5.24,5.24
48.96,0.11,4.16,4.16
49.13,0.65,12.78,12.8
49.27,-0.11,2.29,2.29
49.44,0.1,7.07,7.07
49.59,0.48,8.15,8.16
49.76,-0.06,1.05,1.05
49.92,0.53,2.79,2.84
50.08,0.32,9.38,9.38
50.24,0.07,3.65,3.65
50.39,0.36,1.24,1.3
50.56,0.05,4.74,4.74
50.7,0.36,7.8,7.81
50.86,0.17,6.03,6.04
51.02,0.17,7.6,7.6
51.18,-0.11,8.72,8.72
51.33,0.1,4.64,4.64
51.5,-0.01,2.42,2.42
51.66,0.8,12.77,12.8
51.81,0.39,9.1,9.11
51.98,-0.21,3.1,3.11
52.13,-0.24,9.28,9.29
52.29,-0.02,8.5,8.5
52.44,0.49,10.06,10.07
52.6,0.36,9.31,9.31
52.75,0.09,12.99,12.99
52.92,-0.3,9.77,9.77
53.07,-0.26,8.32,8.33
53.22,0.72,18.25,18.26
53.39,0.56,16.62,16.63
53.53,0.23,16.16,16.17
53.72,-0.44,14.9,14.91
53.87,-0.4,9.45,9.46
54.02,0.52,15.46,15.47
54.18,0.9,11.23,11.27
54.33,0.35,14.41,14.42
54.5,-0.33,16.92,16.92
54.67,-0.81,8.97,9.01
54.81,0.32,16.19,16.2
54.97,0.96,11.4,11.44
55.12,0.17,9.01,9.01
55.29,-0.68,13.99,14
55.44,-0.76,12.31,12.33
55.6,0.58,12.39,12.4
55.76,0.83,15.64,15.66
55.92,0.13,10.01,10.01
56.07,-0.97,14.09,14.13
56.24,-0.84,15.84,15.87
56.4,0.62,13.17,13.18
56.57,0.68,13.77,13.79
56.72,-0.13,9.18,9.18
56.88,-0.24,11.68,11.68
57.04,-0.03,8.58,8.58
57.19,0.75,14.75,14.77
57.36,0.17,7.25,7.26
57.53,0.02,8.3,8.3
57.68,-0.11,8.37,8.37
57.83,-0.08,6.55,6.55
57.99,0.33,6.33,6.34
58.14,1.09,6.33,6.42
58.29,0.58,8.32,8.34
58.46,-0.77,3.56,3.64
58.63,-0.61,5.11,5.15
58.78,0.16,4,4
58.94,-0.16,-0.54,0.56
59.08,0.23,3.52,3.52
59.25,-0.15,-1.26,1.27
59.4,-0.17,6.73,6.73
59.57,-0.09,0.66,0.66
59.72,0.4,10.54,10.55
59.88,0.33,8.22,8.23
60.03,0.08,7.11,7.11
60.2,-0.41,11.8,11.8
60.35,-0.49,12.29,12.3
60.51,0.33,14.28,14.28
60.68,0.45,11.38,11.38
60.81,0.12,12.07,12.07
60.97,-0.3,10.19,10.19
61.13,-0.26,13.33,13.33
61.3,0.25,6.26,6.27
61.45,0.3,7.07,7.08
61.61,0.06,10.92,10.92
61.76,-0.09,10.03,10.03
61.92,-0.07,6.42,6.42
62.07,0.2,7.04,7.04
62.24,0.3,10.25,10.26
62.4,0.14,5.61,5.61
62.55,-0.1,8.89,8.89
62.7,-0.09,4.86,4.87
62.87,0.06,9.77,9.77
63.02,0.33,3.91,3.92
63.19,0.43,7.68,7.7
63.35,0.06,4.48,4.48
63.49,-0.13,10.52,10.52
63.68,0.04,8.93,8.93
63.83,0.43,12.73,12.73
63.98,0.37,12.23,12.23
64.14,0.39,9.84,9.85
64.29,0,7.16,7.16
64.46,-0.04,7.64,7.64
64.61,0.02,11.25,11.25
64.78,0.12,7.75,7.75
64.94,0.13,8.46,8.46
65.09,0.13,11.23,11.23
65.25,0.06,12.9,12.9
65.41,0,13.45,13.45
65.56,0.09,14.34,14.34
65.73,0.22,14.44,14.44
65.88,0.19,11.96,11.96
66.03,-0.16,10.75,10.75
66.2,-0.23,9.27,9.27
66.35,0.04,12.22,12.22
66.51,0.45,10.55,10.56
66.66,0.25,14.63,14.63
66.83,-0.28,11.09,11.09
67,-0.27,13.54,13.54
67.15,0.27,17.17,17.17
67.29,0.67,13.21,13.23
67.45,0.21,11.34,11.35
67.63,-0.3,8.16,8.17
67.77,-0.17,5.7,5.7
67.93,0.38,14.93,14.94
68.1,0.48,8.12,8.14
68.25,0.06,8.15,8.15
68.42,-0.26,9.93,9.93
68.58,-0.04,9.53,9.53
68.73,0.54,14.07,14.08
68.91,0.63,17.13,17.14
69.06,0.22,9.71,9.71
69.21,-0.37,9.57,9.58
69.38,0.05,13.89,13.89
69.52,0.18,8.63,8.63
69.69,0.5,14.17,14.18
69.84,0.42,14.61,14.62
70.01,0.08,14.7,14.7
70.16,-0.21,15.66,15.66
70.32,-0.05,11.81,11.81
70.47,0.3,15.76,15.77
70.64,0.36,15.21,15.21
70.79,0.18,17.91,17.91
70.96,-0.34,12.68,12.68
71.11,-0.34,3.99,4.01
71.27,0.31,15.23,15.23
71.44,0.42,11.66,11.67
71.58,0.19,11.55,11.55
71.75,-0.2,11.77,11.77
71.91,-0.25,10.05,10.06
72.06,0.27,12.57,12.57
72.21,0.42,13.76,13.77
72.38,0.14,14.39,14.39
72.53,-0.3,13.57,13.57
72.69,-0.23,16.08,16.08
72.86,0.21,12.93,12.93
73.01,0.38,12.21,12.21
73.17,0.2,14.18,14.18
73.33,-0.18,14.24,14.24
73.47,-0.1,15.69,15.69
73.64,0.09,12.72,12.72
73.8,0.23,13.27,13.27
73.95,0.09,15.84,15.84
74.11,-0.23,5.39,5.4
74.26,-0.28,15.59,15.59
74.43,0,15.84,15.84
74.58,0.15,10.61,10.61
74.75,0.13,12.3,12.3
74.91,-0.13,7.93,7.93
75.06,-0.25,14.63,14.63
75.23,0.21,16.23,16.23
75.38,0.4,14.93,14.94
75.53,0.1,14.85,14.85
75.7,-0.23,16.02,16.02
75.85,-0.22,16.36,16.36
76.01,-0.01,15.14,15.14
76.17,0.41,12.05,12.06
76.32,0.39,9.74,9.75
76.49,-0.04,15.91,15.91
76.64,-0.29,12.66,12.67
76.8,-0.16,13.56,13.57
76.95,0.32,11.39,11.39
77.12,0.36,8.9,8.91
77.27,-0.13,7.17,7.17
77.43,-0.35,8.17,8.18
77.58,0.12,12.12,12.12
77.75,0.45,10.2,10.21
77.91,0.38,6.84,6.85
78.06,-0.05,10.69,10.69
78.22,-0.23,12.7,12.7
78.38,-0.12,8.57,8.57
78.54,0.35,13.45,13.46
78.69,0.42,12.5,12.51
78.86,0.19,11.79,11.79
79.01,-0.07,13.79,13.79
79.17,-0.49,9.48,9.49
79.32,0.09,16.85,16.86
79.47,0.63,16.48,16.49
79.64,0.38,13.68,13.69
79.79,-0.41,17.17,17.17
79.96,-0.76,20.25,20.27
80.11,0.14,12.78,12.78
80.26,0.85,17.01,17.04
80.43,0.54,16.02,16.02
80.58,-0.16,17.2,17.2
80.75,-0.44,13.47,13.48
80.9,-0.08,14.98,14.98
81.06,0.85,17.56,17.58
81.21,0.67,15.7,15.72
81.38,-0.5,9.9,9.91
81.54,-0.73,15.8,15.82
81.69,-0.11,5.73,5.73
81.86,0.57,4.28,4.31
82.01,0.12,4.69,4.69
82.17,-0.01,-0.04,0.04
82.33,0.04,5.97,5.97
82.49,-0.12,-0.45,0.46
82.64,0.23,4.17,4.18
82.8,0.35,9.09,9.1
82.95,0.04,13.63,13.63
83.12,-0.24,8.59,8.59
83.28,-0.16,15.18,15.18
83.43,0.37,13.31,13.32
83.6,0.33,11.22,11.23
83.75,0,13.06,13.06
83.91,-0.13,14.36,14.36
84.06,0.07,11.44,11.44
84.23,0.23,6.51,6.51
84.37,0.48,9.43,9.44
84.54,0.21,10.7,10.7
84.69,-0.01,11.91,11.91
84.86,-0.01,7.85,7.85
85.02,0.12,11.57,11.57
85.17,0.48,13.66,13.67
85.32,0.87,15.57,15.59
85.49,-0.12,8.45,8.45
85.66,-0.19,10.16,10.16
85.8,-0.14,6.59,6.6
85.97,0.44,9.93,9.94
86.12,0.61,12.74,12.75
86.26,0.42,18.1,18.11
86.44,-0.14,12.46,12.46
86.58,-0.2,9.77,9.78
86.75,0.32,12.23,12.23
86.91,0.75,15.09,15.11
87.06,0.4,10.84,10.85
87.23,-0.35,8.58,8.58
87.38,-0.63,7.87,7.9
87.55,0.29,8.9,8.9
87.69,0.61,15.08,15.09
87.86,0.23,6.08,6.08
88.02,-0.19,11.31,11.31
88.18,-0.42,9.86,9.86
88.33,-0.05,11.29,11.29
88.48,0.68,15.5,15.52
88.63,0.43,14.18,14.19
88.81,-0.16,4.62,4.63
88.96,-0.34,8.38,8.39
89.12,-0.07,11.39,11.39
89.26,0.46,8.28,8.29
89.43,0.42,9.06,9.07
89.58,-0.03,11.27,11.27
89.75,-0.15,12,12
89.9,-0.08,11.82,11.82
90.05,0.29,13.54,13.55
90.21,0.42,14.31,14.32
90.38,0.11,8.97,8.97
90.54,-0.09,5.03,5.03
90.71,-0.06,9.32,9.32
90.84,0.08,14.82,14.82
91,0.24,7.84,7.84
91.15,0.23,10.65,10.65
91.34,-0.06,12.9,12.9
91.49,-0.15,14.13,14.13
91.64,0.31,15.79,15.8
91.8,0.34,15.57,15.57
91.95,0.18,15.95,15.95
92.12,-0.04,9.09,9.09
92.27,-0.2,4.16,4.17
92.43,-0.07,9,9
92.59,0.24,5.37,5.38
92.74,0.23,8.79,8.79
92.91,-0.01,9.22,9.22
93.06,-0.17,9.05,9.05
93.21,-0.13,11.28,11.29
93.38,0.34,16.57,16.57
93.53,0.38,12.33,12.33
93.69,0.13,14.51,14.51
93.84,0.09,14.88,14.88
94.01,-0.04,13.12,13.12
94.16,0.26,9.33,9.33
94.32,0.35,9.77,9.77
94.48,0.06,11.27,11.27
94.64,-0.19,11.17,11.17
94.8,0.01,10.91,10.91
94.95,0.32,10.24,10.24
95.11,0.39,9.75,9.76
95.28,-0.08,2.91,2.91
95.43,-0.34,6.13,6.14
95.6,-0.06,9.09,9.09
95.75,0.38,10.31,10.32
95.9,0.26,5.73,5.73
96.06,0,13.51,13.51
96.22,-0.25,17.03,17.03
96.38,-0.3,13.72,13.72
96.55,0.29,12.14,12.14
96.69,0.58,13.38,13.39
96.85,0.28,11.6,11.6
97,-0.34,9.17,9.17
97.17,-0.37,13.15,13.16
97.34,0.1,8.44,8.44
97.49,0.68,13.72,13.74
97.64,0.44,12.78,12.78
97.8,-0.03,8.75,8.75
97.97,-0.19,11.31,11.31
98.12,-0.07,9.86,9.86
98.29,0.48,10.21,10.22
98.44,0.66,17.51,17.52
98.59,0.12,13.88,13.88
98.74,-0.38,15.66,15.67
98.91,-0.43,13.76,13.76
99.06,0.34,16.92,16.92
99.23,0.49,17.5,17.51
99.38,0.07,10.88,10.88
99.54,-0.35,12.67,12.68
99.69,-0.09,9.1,9.1
99.86,0.24,13.86,13.86
100.01,0.21,12.92,12.93
100.17,0.2,14.41,14.41
100.32,0.13,13.33,13.33
100.48,0.07,16.1,16.1
100.64,-0.13,16.5,16.5
100.8,-0.16,12.92,12.92
100.95,0.11,13.3,13.3
101.11,0.17,6.2,6.21
101.26,0.04,4.95,4.95
101.43,0.14,17.48,17.48
101.58,-0.1,11.46,11.46
101.75,0.07,4.2,4.2
101.9,0.15,8.25,8.25
102.06,0.06,11.69,11.69
102.21,0.07,10.93,10.93
102.38,0.03,4.37,4.37
102.53,0.09,17.16,17.16
102.68,0.19,16.87,16.87
102.85,0.01,4.89,4.89
103,-0.01,7.57,7.57
103.16,0.11,11.02,11.02
103.32,0.19,6.83,6.84
103.47,0.22,9.78,9.78
103.64,0,9.65,9.65
103.81,-0.15,4.83,4.83
103.95,0.15,5.25,5.25
104.12,0.39,12.45,12.46
104.27,0.28,12.4,12.41
104.43,-0.11,7.99,7.99
104.58,-0.59,7.93,7.96
104.74,-0.04,8.21,8.21
104.9,0.82,7.37,7.41
105.06,0.21,5.62,5.63
105.22,-0.17,8.9,8.9
105.38,-0.15,-0.19,0.24
105.54,0.21,3.96,3.96
105.69,0.13,4.53,4.53
105.86,0.1,4.08,4.08
106.01,0.07,9.44,9.44
106.17,0.02,13.28,13.28
106.32,0.29,14.07,14.08
106.49,0.44,14.63,14.63
106.64,0.34,15.58,15.59
106.8,0.17,15.81,15.81
106.95,0,11.94,11.94
107.11,0.17,12.6,12.6
107.27,0.14,14.28,14.28
107.43,0.09,6.12,6.12
107.58,0.01,9.91,9.91
107.73,0.06,8.03,8.03
107.9,0.16,5.18,5.18
108.06,0.05,9.25,9.25
108.23,0.05,6.77,6.77
108.38,0.06,11.65,11.65
108.55,-0.03,1.01,1.01
108.69,0.54,8,8.01
108.86,0.25,2.29,2.3
109.02,-0.35,3.09,3.11
109.17,-0.06,2.91,2.91
109.34,0.05,0.17,0.18
109.49,0.12,1.7,1.7
109.65,-0.04,0.85,0.86
109.82,-0.03,6.16,6.16
109.97,0.1,7.1,7.1
110.14,0.18,5.45,5.45
110.3,0.13,6.56,6.56
110.45,-0.05,4.65,4.65
110.61,-0.03,6.55,6.55
110.76,0,4.72,4.72
110.93,0.2,11.73,11.73
111.07,0.18,9.24,9.24
111.24,-0.11,5.46,5.46
111.39,-0.02,7.55,7.55
111.56,0.26,11.09,11.09
111.71,0.21,12.89,12.89
111.87,0.03,10.17,10.17
112.02,-0.08,9.26,9.26
112.2,0.05,9.69,9.69
112.35,0.29,7.45,7.45
112.5,0.2,10.68,10.68
112.66,0.05,9.83,9.83
112.82,-0.23,8.01,8.01
112.97,-0.17,9.14,9.15
113.14,0.24,3.11,3.12
113.28,0.21,8.28,8.28
113.45,-0.11,6.95,6.95
113.6,-0.32,13.09,13.1
113.76,0.31,14.65,14.65
113.91,0.32,10.36,10.37
114.09,0.23,16.84,16.84
114.24,-0.2,13.29,13.29
114.39,-0.02,14.93,14.93
114.56,0.14,9.58,9.58
114.71,0.12,10.51,10.51
114.87,-0.07,17.23,17.23
115.03,0.07,10.63,10.63
115.18,0.11,12.3,12.3
115.35,0.18,13.7,13.7
115.5,0.26,4.26,4.27
115.65,0.1,12.54,12.54
115.8,0.05,10.36,10.36
115.97,0.02,11.79,11.79
116.12,0.08,13.43,13.43
116.28,0.18,10.32,10.32
116.45,0.29,15.6,15.6
116.6,-0.25,9.72,9.73
116.77,-0.23,11.01,11.01
116.92,0.21,10.18,10.18
117.08,0.4,12.01,12.01
117.24,0.26,12.47,12.48
117.39,-0.05,14.22,14.22
117.56,-0.38,14.54,14.54
117.71,0.24,12.12,12.12
117.87,0.48,13.07,13.08
118.04,0.47,16.1,16.11
118.19,-0.02,16.94,16.94
118.34,-0.3,12.41,12.41
118.49,0.07,10.14,10.14
118.65,0.45,8.99,9
118.8,0.27,7.61,7.61
118.97,-0.11,7.94,7.94
119.12,-0.2,14.41,14.42
119.28,0.08,13.61,13.61
119.44,0.25,10.77,10.77
119.6,0.4,17.84,17.85
119.76,0.18,11.03,11.04
119.91,-0.08,5.01,5.01
120.06,-0.2,11.43,11.43
120.23,0.22,8.76,8.77
120.39,0.22,8,8
120.54,0.25,9.39,9.39
120.72,0.14,14.53,14.53
120.86,-0.06,16.51,16.51
121.02,0.08,13.84,13.84
121.18,0.15,12.17,12.17
121.33,-0.01,7.93,7.93
121.48,-0.13,3.13,3.13
121.66,0.02,10.91,10.91
121.82,0.12,14.13,14.13
121.97,0.03,5.71,5.71
122.13,0.14,7.26,7.26
122.28,0.2,8.46,8.46
122.45,0.19,11.95,11.95
122.6,0.13,14.09,14.09
122.77,0.25,10.48,10.48
122.92,0.04,6.5,6.5
123.09,0.16,8.72,8.72
123.25,0.03,6.2,6.2
123.4,0.21,10.56,10.57
123.56,0.33,2.79,2.81
123.72,0.31,9.48,9.48
123.87,-0.04,4.18,4.18
124.04,0.12,8.66,8.67
124.2,0.05,9.26,9.26
124.35,0.26,9.85,9.85
124.51,0.2,10.18,10.18
124.65,0.09,12.68,12.68
124.82,-0.21,7.19,7.19
124.99,-0.04,7.29,7.29
125.14,0.28,13.92,13.92
125.29,0.32,14.79,14.79
125.46,0.12,10.84,10.85
125.62,-0.19,13.87,13.87
125.78,-0.17,9.12,9.12
125.93,0.18,8.56,8.56
126.07,0.37,11.35,11.36
126.24,0.07,12.07,12.07
126.39,0.1,14.04,14.04
126.56,-0.11,11.2,11.21
126.72,0.43,10.52,10.53
126.87,-0.05,13.9,13.9
127.04,-0.24,14.15,14.16
127.19,0.3,8.96,8.96
127.36,0.36,8.8,8.81
127.5,-0.23,11.74,11.74
127.65,-0.07,12.26,12.26
127.81,0.36,14.02,14.03
127.98,0.34,11.7,11.71
128.13,0.14,10.77,10.77
128.3,0.04,13.53,13.53
128.45,-0.11,8.92,8.92
128.61,-0.26,9.75,9.75
128.78,0.23,12.63,12.63
128.93,0.52,11.27,11.28
129.07,0.36,18.01,18.01
129.24,-0.04,13.41,13.41
129.4,-0.34,12.57,12.57
129.56,-0.24,7.63,7.63
129.72,0.29,15.38,15.39
129.87,0.26,17.16,17.16
130.04,-0.01,15.01,15.01
130.19,-0.1,14.11,14.11
130.35,0.2,9.76,9.76
130.5,0.18,11.55,11.55
130.67,0.13,16.59,16.59
130.82,-0.13,14.9,14.9
130.99,-0.04,12.83,12.83
131.15,0.12,12.98,12.98
131.29,0.06,10.86,10.86
131.48,0.16,10.82,10.82
131.61,0.08,13.83,13.83
131.78,-0.12,9.59,9.59
131.93,-0.17,5.79,5.79
132.09,0.19,8.18,8.18
132.26,0.15,7.4,7.4
132.41,0.16,17.47,17.47
132.56,0.05,3.78,3.78
132.73,0.17,6.25,6.25
132.87,0.46,10.65,10.66
133.03,0.2,5.78,5.78
133.19,0.11,12.54,12.54
133.36,-0.05,13.66,13.66
133.51,-0.01,11.12,11.12
133.66,0.16,6.75,6.75
133.82,0.24,10.69,10.69
133.98,0.05,10.71,10.71
134.15,-0.02,7.05,7.05
134.3,0.41,11.41,11.42
134.46,0.07,8.83,8.83
134.63,0.06,9.14,9.14
134.78,0.02,10.81,10.81
134.94,-0.05,12.4,12.4
